,Num,Chr,Start,Stop,Crossover_sites,Size
0,3482183,1,2175658,2176007,2175832,349
1,3482183,1,16076463,16077180,16076821,717
2,3482183,1,20137624,20137661,20137642,37
3,3482183,1,24821380,24821764,24821572,384
4,3482183,2,1451259,1451558,1451408,299
5,3482183,2,12486096,12487665,12486880,1569
6,3482183,2,19095896,19098525,19097210,2629
7,3482183,3,1584447,1584736,1584591,289
8,3482183,3,11916698,11916899,11916798,201
9,3482183,3,12773212,12773779,12773495,567
10,3482183,3,16914556,16914995,16914775,439
11,3482183,4,14865024,14865120,14865072,96
12,3482183,5,1677946,1679252,1678599,1306
13,3482184,1,4120891,4121964,4121427,1073
14,3482184,1,11836873,11836904,11836888,31
15,3482184,1,20386138,20387177,20386657,1039
16,3482184,1,26554279,26559548,26556913,5269
17,3482184,2,9676027,9676168,9676097,141
18,3482184,3,5167887,5177902,5172894,10015
19,3482184,3,16770225,16770704,16770464,479
20,3482184,4,9198038,9198450,9198244,412
21,3482184,5,7900780,7901205,7900992,425
22,3482184,5,8761113,8761188,8761150,75
23,3482184,5,25848401,25848921,25848661,520
24,3482185,1,29183103,29183540,29183321,437
25,3482185,2,400106,400873,400489,767
26,3482185,5,1148818,1149567,1149192,749
27,3482185,5,22940121,22942327,22941224,2206
28,3482186,1,25009266,25009297,25009281,31
29,3482186,2,8557284,8557420,8557352,136
30,3482186,2,9237745,9237928,9237836,183
31,3482186,4,11916414,11916736,11916575,322
32,3482186,5,19986694,19986803,19986748,109
33,3482186,5,25717850,25718329,25718089,479
34,3482187,1,17222425,17222746,17222585,321
35,3482187,2,12396335,12396983,12396659,648
36,3482187,3,16429059,16430773,16429916,1714
37,3482187,4,5436414,5436471,5436442,57
38,3482187,4,5602478,5602487,5602482,9
39,3482187,4,16654936,16655456,16655196,520
40,3482187,5,4774850,4775323,4775086,473
41,3482188,2,1025098,1025193,1025145,95
42,3482188,2,8410904,8411166,8411035,262
43,3482188,3,1253523,1254197,1253860,674
44,3482188,3,9486269,9486878,9486573,609
45,3482188,3,18782198,18782594,18782396,396
46,3482188,5,6517296,6517868,6517582,572
47,3482188,5,8733909,8734828,8734368,919
48,3482189,1,563035,563367,563201,332
49,3482189,1,4032592,4032619,4032605,27
50,3482189,1,8452972,8452981,8452976,9
51,3482189,1,18908304,18908314,18908309,10
52,3482189,1,23083383,23083702,23083542,319
53,3482189,4,5299202,5299360,5299281,158
54,3482189,4,8070436,8070506,8070471,70
55,3482189,4,14728014,14728108,14728061,94
56,3482189,5,832598,833410,833004,812
57,3482189,5,2799020,2801843,2800431,2823
58,3482190,1,7716292,7722780,7719536,6488
59,3482190,1,29833343,29833712,29833527,369
60,3482190,3,15359236,15360391,15359813,1155
61,3482190,4,8896158,8896292,8896225,134
62,3482190,4,9756735,9757743,9757239,1008
